image,angle,throttle
0_cam_image_array_.jpg,0.0,0.85
1_cam_image_array_.jpg,0.0,0.85
2_cam_image_array_.jpg,0.0,0.85
3_cam_image_array_.jpg,0.0,0.85
4_cam_image_array_.jpg,0.0,0.85
5_cam_image_array_.jpg,0.0,0.85
6_cam_image_array_.jpg,0.0,0.85
7_cam_image_array_.jpg,0.0,0.85
8_cam_image_array_.jpg,0.0,0.85
9_cam_image_array_.jpg,0.0,0.85
10_cam_image_array_.jpg,0.0,0.85
11_cam_image_array_.jpg,0.0,0.85
12_cam_image_array_.jpg,0.0,0.85
13_cam_image_array_.jpg,0.0,0.85
14_cam_image_array_.jpg,0.0,0.85
15_cam_image_array_.jpg,0.0,0.85
16_cam_image_array_.jpg,0.0,0.85
17_cam_image_array_.jpg,0.0,0.85
18_cam_image_array_.jpg,0.0,0.85
19_cam_image_array_.jpg,0.0,0.85
20_cam_image_array_.jpg,0.0,0.85
21_cam_image_array_.jpg,0.0,0.85
22_cam_image_array_.jpg,0.0,0.85
23_cam_image_array_.jpg,0.0,0.85
24_cam_image_array_.jpg,0.0,0.85
25_cam_image_array_.jpg,0.0,0.85
26_cam_image_array_.jpg,0.0,0.85
27_cam_image_array_.jpg,0.0,0.85
28_cam_image_array_.jpg,0.0,0.85
29_cam_image_array_.jpg,0.0,0.85
